City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,havoysund,71.0,24.66,19.02,76,100,19.44,NO,1579969477
320,shimoda,34.67,138.95,44.01,86,100,23.76,JP,1579969477
321,nehe,48.48,124.83,-9.09,94,9,8.01,CN,1579969477
322,bangor,54.65,-5.67,46.99,89,72,4.0,GB,1579969182
323,san patricio,19.22,-104.7,75.58,75,8,5.95,MX,1579969477
324,bandarbeyla,9.49,50.81,78.64,85,59,19.01,SO,1579969477
325,eppingen,49.14,8.91,46.0,79,28,1.19,DE,1579969477
326,sakaiminato,35.55,133.23,43.63,76,100,6.71,JP,1579969478
327,turayf,31.67,38.66,42.24,64,65,10.29,SA,1579969478
328,hambantota,6.12,81.12,80.78,73,100,20.65,LK,1579969384
329,revda,56.8,59.93,8.46,93,99,5.86,RU,1579969478
330,hede,33.77,120.25,43.56,76,100,15.39,CN,1579969478
331,cidreira,-30.18,-50.21,76.35,56,0,4.34,BR,1579969478
332,rajshahi,24.37,88.6,61.63,45,0,3.22,BD,1579969478
333,staraya poltavka,50.48,46.48,33.19,97,100,15.5,RU,1579969478
334,husavik,66.04,-17.34,30.2,86,90,36.91,IS,1579969479
335,palmer,42.16,-72.33,43.0,74,90,5.82,US,1579969479
336,ambulu,-8.35,113.61,84.79,72,94,9.26,ID,1579969479
337,necochea,-38.55,-58.74,80.01,54,0,11.01,AR,1579969259
338,wajima,37.4,136.9,43.36,62,100,18.07,JP,1579969479
339,bamiantong,44.93,130.53,-5.33,78,0,3.2,CN,1579969479
340,praia,14.92,-23.51,75.56,61,2,17.81,CV,1579969479
341,peniche,39.36,-9.38,57.99,80,0,5.99,PT,1579969458
342,santa cruz,-17.8,-63.17,101.01,23,54,2.91,BO,1579969370
343,marrakesh,31.63,-8.01,61.88,38,2,13.51,MA,1579969359
344,kupang,-10.17,123.58,84.09,76,93,7.09,ID,1579969426
345,natchez,31.56,-91.4,46.0,87,1,1.07,US,1579969363
346,kavaratti,10.57,72.64,82.47,66,4,9.55,IN,1579969480
347,rio grande,-32.03,-52.1,91.99,39,33,1.01,BR,1579969337
348,dubrovnik,42.65,18.09,53.6,81,75,1.12,HR,1579969480
349,bartica,6.4,-58.62,84.96,58,94,4.32,GY,1579969480
350,sabzevar,36.21,57.68,38.5,62,50,10.6,IR,1579969486
351,guadalupe y calvo,26.1,-106.97,45.99,74,100,2.33,MX,1579969486
352,ndele,8.41,20.65,88.65,8,82,7.7,CF,1579969486
353,tiarei,-17.53,-149.33,78.01,78,100,16.51,PF,1579969486
354,poum,-20.23,164.02,79.9,79,51,17.85,NC,1579969487
355,abu dhabi,24.47,54.37,67.41,58,0,8.95,AE,1579969271
356,luena,-11.78,19.92,75.2,78,40,6.93,AO,1579969487
357,bilibino,68.05,166.44,-14.6,91,100,3.29,RU,1579969487
358,durango,24.83,-104.83,50.32,59,100,3.87,MX,1579969266
359,trinidad,-14.83,-64.9,91.42,53,70,4.32,BO,1579969487
360,bosaso,11.28,49.18,77.38,75,46,4.0,SO,1579969487
361,colares,38.8,-9.45,59.0,73,0,8.77,PT,1579969487
362,maun,-19.98,23.42,88.27,34,97,3.62,BW,1579969487
363,tayga,56.06,85.62,25.0,77,100,5.99,RU,1579969487
364,porto santo,33.07,-16.34,54.0,77,12,12.03,PT,1579969488
365,adrar,20.5,-10.07,87.66,20,100,4.16,MR,1579969488
366,kisangani,0.52,25.2,93.94,20,99,1.72,CD,1579969488
367,yatou,37.15,122.38,37.44,73,100,12.5,CN,1579969488
368,svetlogorsk,52.63,29.73,35.56,87,100,14.23,BY,1579969488
369,teeli,51.03,90.23,3.51,64,100,0.69,RU,1579969265
370,baruun-urt,46.68,113.28,4.84,81,0,8.52,MN,1579969488
371,porbandar,21.64,69.61,75.07,51,0,13.85,IN,1579969488
372,san juan,-31.54,-68.54,94.01,20,0,13.42,AR,1579969488
373,brindisi,40.58,17.67,57.0,83,74,1.99,IT,1579969489
374,beya,53.05,90.91,24.33,80,97,7.72,RU,1579969489
375,la rioja,42.25,-2.5,42.01,92,100,1.99,ES,1579969489
376,prokopyevsk,53.91,86.72,23.13,85,100,12.73,RU,1579969489
377,matongo,-2.38,34.08,72.77,81,100,3.04,TZ,1579969489
378,chokurdakh,70.63,147.92,-32.53,92,26,1.88,RU,1579969390
379,villa de cura,10.04,-67.49,80.96,48,100,1.86,VE,1579969489
380,mayor pablo lagerenza,-19.93,-60.77,100.24,24,0,3.22,PY,1579969489
381,college,64.86,-147.8,-8.0,67,100,3.13,US,1579969489
